Program,Hubspot ID,Time Zone,Program Name,Current Cohort,Deposit Paid Date,Status,payment_status,Current Payment Status,Payment Mode,Call Status,Upfront/Non-Upfront payment,Original SSA
EdgeUp Step Up,9554845,America/New_York,EdgeUp Engineering Management StepUp Program (with Agentic AI),Applied Agentic AI for SWEs - Mid-May 2026,27-Apr-2026,ENROLLED_WITH_NO_DUES,has_paid_in_full,Fully Paid,STRIPE_CARD,Onboarded,Upfront Payment,Arush
Agentic SkillUp,412006151,America/Los_Angeles,Applied Agentic AI Program for SWEs,Applied Agentic AI for SWEs - Early-June 2026,27-Apr-2026,ENROLLED_WITH_NO_DUES,has_paid_in_full,Fully Paid,STRIPE_CARD,Onboarded,Upfront Payment,Nishtha
EdgeUp,541079751,America/Los_Angeles,EdgeUp Data Engineering LevelUp Program (with Agentic AI),Data Engineering Interview Prep - Mid-May 2026,27-Apr-2026,ENROLLED_WITH_NO_DUES,has_paid_in_full,Fully Paid,STRIPE_CARD,Onboarded,Upfront Payment,Suraj
EdgeUp Step Up,117533422089,America/Los_Angeles,EdgeUp Product Manager (Tech) StepUp Program (with Agentic AI),Applied Agentic AI - Early-May 2026,27-Apr-2026,ENROLLED_WITH_NO_DUES,has_paid_in_full,Fully Paid,STRIPE_CARD,Onboarded,Upfront Payment,Sharon
Agentic SkillUp,200279269698,America/Chicago,Applied Agentic AI Program for SWEs,Applied Agentic AI for SWEs - Mid-May 2026,27-Apr-2026,ENROLLED_WITH_NO_DUES,has_paid_in_full,Fully Paid,CLIMBCREDIT,Onboarded,Upfront Payment,Manish
Step Up,212374754951,America/Chicago,Technical Program Manager Interview Prep Fast Track Program,Self-Paced TPM FastTrack,27-Apr-2026,FULL_PAYMENT_PAID,has_paid_in_full,Fully Paid,PAYPAL,Incomplete OB ,Upfront Payment,Samarth
EdgeUp Step Up,216716292229,America/Pacific,EdgeUp Product Manager (Tech) StepUp Program (with Agentic AI),"
Applied Agentic AI - 2nd Mid-May 2026",27-Apr-2026,ENROLLED_WITH_NO_DUES,has_paid_in_full,Fully Paid,STRIPE_CARD,Onboarded,Upfront Payment,Zeeshan
Level Up,300000134076,America/Los_Angeles,Technical Program Manager Interview Prep Program,TPM Interview Prep - 2nd Mid-May 2026,27-Apr-2026,ENROLLED,has_time_to_pay,Fully Paid,STRIPE_CARD,Onboarded,Non-Upfront Payment,Pragya
EdgeUp Step Up,300000155485,America/New_York,EdgeUp iOS StepUp Program (with Agentic AI),Applied Agentic AI for SWEs - Mid-May 2026,27-Apr-2026,ENROLLED_WITH_NO_DUES,has_paid_in_full,Fully Paid,ACH_TRANSFER,Onboarded,Upfront Payment,Arush
Step Up,300000155670,America/Los_Angeles,Site Reliability Engineering Interview Prep Fast Track Program,Self-Paced SRE FastTrack,27-Apr-2026,ENROLLED_WITH_NO_DUES,Dispute lost,Dispute Lost,PAYPAL,Incomplete OB ,Upfront Payment,Anwesh
Agentic SkillUp,14239443,America/Chicago,Applied Agentic AI Program for SWEs,Applied Agentic AI for SWEs - Early-May 2026,27-Apr-2026,FULL_PAYMENT_PAID,has_paid_in_full,Fully Paid,STRIPE_MANUAL_PAYMENT,VM - 4 Attempts,Upfront Payment,Nishtha
Agentic SkillUp,505187251,America/Detroit,Applied Agentic AI Program for EM,Applied Agentic AI for EM's - 2nd Mid-May 2026,27-Apr-2026,ENROLLED_WITH_NO_DUES,has_paid_in_full,Fully Paid,ACH_TRANSFER,Onboarded,Upfront Payment,Arush
Agentic SkillUp,521394001,America/Los_Angeles,Applied Agentic AI Program for SWEs,Applied Agentic AI for SWEs - Mid-May 2026,27-Apr-2026,ENROLLED_WITH_NO_DUES,has_paid_in_full,Fully Paid,STRIPE_CARD,Onboarded,Upfront Payment,Sharon
EdgeUp Step Up,578557001,America/Chicago,EdgeUp Backend StepUp Program (with Agentic AI),Applied Agentic AI for SWEs - Mid-May 2026,27-Apr-2026,REFUNDED,REFUNDED,Refunded,CLIMBCREDIT,VM - 4 Attempts,Upfront Payment,Suraj
Step Up,182243717909,America/Los_Angeles,Android Fast Track Masterclass,Android Interview Prep Fast Track Program,27-Apr-2026,FULL_PAYMENT_PAID,has_paid_in_full,Fully Paid,CLIMBCREDIT,Onboarded,Upfront Payment,Sanjana
EdgeUp Step Up,189637625425,America/Chicago,EdgeUp Engineering Management StepUp Program (with Agentic AI),Applied Agentic AI for EM's - 2nd Mid-May 2026,27-Apr-2026,ENROLLED_WITH_NO_DUES,has_paid_in_full,Fully Paid,STRIPE_CARD,Onboarded,Upfront Payment,Sharon
EdgeUp,209021834131,America/Chicago,EdgeUp Technical Program Manager LevelUp Program (with Agentic AI),Applied Agentic AI - 2nd Mid-May 2026,27-Apr-2026,FULL_PAYMENT_PAID,has_paid_in_full,Fully Paid,CLIMBCREDIT,VM - 4 Attempts,Upfront Payment,Nishtha
Step Up,211524588124,America/Chicago,Backend Interview Prep Fast Track Program,Self-Paced Backend FastTrack,27-Apr-2026,ENROLLED_WITH_NO_DUES,has_paid_in_full,Fully Paid,CLIMBCREDIT,Onboarded,Upfront Payment,Sanjana
EdgeUp,300000107047,Europe/Dublin,EdgeUp Security Engineering LevelUp Program (with Agentic AI),"Applied Agentic AI for SWEs - Mid-May 2026",27-Apr-2026,FULL_PAYMENT_PAID,has_paid_in_full,Fully Paid,STRIPE_MANUAL_PAYMENT,Onboarded,Upfront Payment,Manish
Fast Track Adv.ML,300000153757,America/Los_Angeles,Fast Track Advanced Machine Learning Program,Self-Paced Android FastTrack,27-Apr-2026,ENROLLED,Flexipay_has_time_to_pay,Flexipay_has_time_to_pay,0_PERCENT_APR_FLEXIPAY,Onboarded,Flexipay,Pragya
Advanced ML,300000155203,America/Los_Angeles,Advanced Machine Learning Program (with Agentic AI),Advanced Machine Learning Program - End-May 2026,27-Apr-2026,FULL_PAYMENT_PAID,has_paid_in_full,Refunded,CLIMBCREDIT,Onboarded,Upfront Payment,Pragya
AI/DS SwitchUp,300000155635,America/New_York,AI Data Science SwitchUp Program,AI Data Science SwitchUp - Early-June 2026,27-Apr-2026,Refunded,Refunded,Refunded,CLIMBCREDIT,VM - 4 Attempts,Upfront Payment,Anjali
EdgeUp,300000155946,America/New_York,EdgeUp Technical Program Manager LevelUp Program (with Agentic AI),Applied Agentic AI - 2nd Mid-June 2026,27-Apr-2026,ENROLLED_WITH_NO_DUES,has_paid_in_full,Fully Paid,STRIPE_CARD,Onboarded,Upfront Payment,Arush
New ML,108246002,America/Los_Angeles,Machine Learning Program (with Agentic AI),Machine Learning Program - 2nd End-May 2026,28-Apr-2026,ENROLLED_WITH_NO_DUES,has_paid_in_full,Fully Paid,STRIPE_CARD,Onboarded,Upfront Payment,Sanjana
EdgeUp,202244352537,America/Los_Angeles,EdgeUp Data Engineering LevelUp Program (with Agentic AI),Applied Agentic AI for SWEs - 2nd Mid-May 2026,28-Apr-2026,FULL_PAYMENT_PAID,has_paid_in_full,Invalid,CLIMBCREDIT,VM - 4 Attempts,Upfront Payment,Suraj
EdgeUp Step Up,216137024379,America/Chicago,EdgeUp Data Analyst & Business Analyst StepUp Program (with Agentic AI),Applied Agentic AI - Early-June 2026,28-Apr-2026,FULL_PAYMENT_PAID,has_paid_in_full,Fully Paid,CLIMBCREDIT,Onboarded,Upfront Payment,Arush
EdgeUp Step Up,300000155479,America/New_York,EdgeUp Product Manager (Tech) StepUp Program (with Agentic AI),Applied Agentic AI - Early-May 2026,28-Apr-2026,FULL_PAYMENT_PAID,has_paid_in_full,Fully Paid,CLIMBCREDIT,Onboarded,Upfront Payment,Archi
EdgeUp Step Up,300000156326,America/New_York,EdgeUp Technical Program Manager StepUp Program (with Agentic AI),Applied agentic ai - early-may 2026,28-Apr-2026,ENROLLED_WITH_NO_DUES,has_paid_in_full,Fully Paid,PAYPAL,Onboarded,Upfront Payment,Zeeshan
Advanced ML,9557636,America/New_York,Advanced Machine Learning Program (with Agentic AI),Advanced Machine Learning Program - End-May 2026,29-Apr-2026,FULL_PAYMENT_PAID,has_paid_in_full,Fully Paid,CLIMBCREDIT,Onboarded,Upfront Payment,Anjali
EdgeUp,5147712901,America/Los_Angeles,EdgeUp Fullstack LevelUp Program (with Agentic AI),,28-Apr-2026,FULL_PAYMENT_PAID,has_paid_in_full,Refunded,CLIMBCREDIT,Incomplete OB ,Upfront Payment,Nishtha
EdgeUp Step Up,6435186585,America/Los_Angeles,EdgeUp Engineering Management StepUp Program (with Agentic AI),Applied Agentic AI for EM's - 2nd Mid-May 2026,29-Apr-2026,DEPOSIT_PAID,Flexipay_has_time_to_pay,Flexipay_has_time_to_pay,0_PERCENT_APR_FLEXIPAY,Onboarded,Flexipay,Sudhanshu
Level Up,212881687128,America/Los_Angeles,Backend Engineering Interview Prep Program,Backend Interview Prep - Early-May 2026,29-Apr-2026,ENROLLED,Flexipay_has_time_to_pay,Flexipay_has_time_to_pay,0_PERCENT_APR_FLEXIPAY,Onboarded,Flexipay,Arshia
EdgeUp,216529950563,America/Los_Angeles,EdgeUp Engineering Manager LevelUp Program (with Agentic AI),Applied Agentic AI for EM's - Early-June 2026,28-Apr-2026,ENROLLED_WITH_NO_DUES,has_paid_in_full,Fully Paid,STRIPE_CARD,Onboarded,Upfront Payment,Sharon
EdgeUp,216884475704,America/New_York,EdgeUp Data Engineering LevelUp Program (with Agentic AI),Applied Agentic AI for SWEs - 2nd Mid-May 2026,28-Apr-2026,ENROLLED,Flexipay_has_time_to_pay,Flexipay_has_time_to_pay,0_PERCENT_APR_FLEXIPAY,Onboarded,Flexipay,Arush
EdgeUp,300000154320,America/Los_Angeles,EdgeUp Backend LevelUp Program (with Agentic AI),Applied Agentic AI for SWEs - Mid-May 2026,28-Apr-2026,ENROLLED_WITH_NO_DUES,has_paid_in_full,Fully Paid,CLIMBCREDIT,Onboarded,Upfront Payment,Nishtha
EdgeUp Step Up,300000155518,America/Chicago,EdgeUp Fullstack StepUp Program (with Agentic AI),Applied Agentic AI for SWEs - Early-May 2026,28-Apr-2026,Refunded,Refunded,Refunded,CLIMBCREDIT,VM - 4 Attempts,Upfront Payment,Archi
EdgeUp Step Up,300000156311,America/Los_Angeles,EdgeUp Engineering Management StepUp Program (with Agentic AI),Applied Agentic AI for EM's - Early-July 2026,29-Apr-2026,ENROLLED_WITH_NO_DUES,Refunded,Refunded,PAYPAL,Onboarded,Upfront Payment,Sudhanshu
Agentic SkillUp,300000156577,America/Chicago,Applied Agentic AI Program for SWEs,Applied Agentic AI for SWEs - Early-May 2026,28-Apr-2026,REFUNDED,REFUNDED,Refunded,STRIPE_CARD,Incomplete OB ,Upfront Payment,Safoora
Level Up,300000156656,America/New_York,Data Engineering Interview Prep Program,Data Engineering Interview Prep - Mid-May 2026,29-Apr-2026,ENROLLED_WITH_NO_DUES,has_paid_in_full,Fully Paid,STRIPE_CARD,Onboarded,Upfront Payment,Samarth
Level Up,9601996,America/Los_Angeles,Data Analyst & Business Analyst Interview Preparation Program,Data Analyst & Business Analyst Interview Prep - Mid-May 2026,29-Apr-2026,ENROLLED_WITH_NO_DUES,has_paid_in_full,Refunded,CLIMBCREDIT,Onboarded,Upfront Payment,Kamal
Step Up,41040951,America/Los_Angeles,Backend Interview Prep Fast Track Program,Self-Paced Backend FastTrack,29-Apr-2026,ENROLLED_WITH_NO_DUES,has_paid_in_full,Fully Paid,ACH_TRANSFER,Onboarded,Upfront Payment,Arshia
EdgeUp,450242751,America/Los_Angeles,EdgeUp Fullstack LevelUp Program (with Agentic AI),Applied Agentic AI for SWEs - Mid-May 2026,29-Apr-2026,FULL_PAYMENT_PAID,has_paid_in_full,Fully Paid,CLIMBCREDIT,Onboarded,Upfront Payment,Nishtha
EdgeUp,388687501,America/Los_Angeles,EdgeUp 2026 Technical Program Manager LevelUp Program (with Agentic AI Interview Prep),Applied Agentic AI - 2nd Mid-May 2026,29-Apr-2026,ENROLLED_WITH_NO_DUES,has_paid_in_full,Fully Paid,ACH_TRANSFER,Onboarded,Upfront Payment,Sudhanshu
EdgeUp Step Up,135534478426,America/Chicago,EdgeUp 2026 Backend StepUp Program (with Agentic AI Interview Prep),Applied Agentic AI for SWEs - Mid-May 2026,29-Apr-2026,ENROLLED_WITH_NO_DUES,has_paid_in_full,Fully Paid,PAYPAL,Onboarded,Upfront Payment,Archi
EdgeUp,177121724955,America/Los_Angeles,EdgeUp Fullstack LevelUp Program (with Agentic AI),Applied Agentic AI for SWEs - Mid-May 2026,29-Apr-2026,FULL_PAYMENT_PAID,has_paid_in_full,Fully Paid,CLIMBCREDIT,Onboarded,Upfront Payment,Nishtha
EdgeUp,187035073423,America/Los_Angeles,EdgeUp 2026 Engineering Manager LevelUp Program (with Agentic AI Interview Prep),Applied Agentic AI for SWEs - Early-May 2026,29-Apr-2026,ENROLLED_WITH_NO_DUES,has_paid_in_full,Fully Paid,CLIMBCREDIT,Onboarded,Upfront Payment,Arush
Paid Upgrade,207557605939,America/Chicago,Technical Program Manager Interview Preparation Pathway,TPM Interview Prep Pathway - 2nd Mid-May 2026,30-Apr-2026,ENROLLED_WITH_NO_DUES,has_paid_in_full,Fully Paid,STRIPE_MANUAL_PAYMENT,Onboarded,Upfront Payment,Ajil
Step Up,215210219045,America/Chicago,Data Engineering Interview Prep Fast Track Program,Self-Paced Data Engineering FastTrack,29-Apr-2026,FULL_PAYMENT_PAID,has_paid_in_full,Refunded,CLIMBCREDIT,Incomplete OB ,Upfront Payment,Anjali
EdgeUp Step Up,215263204478,America/New_York,EdgeUp 2026 AWS Cloud Solutions Architect StepUp Program (with Agentic AI Interview Prep),Applied Agentic AI for SWEs - 2nd Mid-May 2026,29-Apr-2026,ENROLLED_WITH_NO_DUES,has_paid_in_full,Fully Paid,PAYPAL,Onboarded,Upfront Payment,Manish
EdgeUp,300000108112,America/New_York,EdgeUp Technical Program Manager LevelUp Program (with Agentic AI),Applied Agentic AI - 2nd Mid-May 2026,29-Apr-2026,REFUNDED,REFUNDED,Refunded,CLIMBCREDIT,Onboarded,Upfront Payment,Arush
EdgeUp,300000155813,America/Chicago,EdgeUp Fullstack LevelUp Program (with Agentic AI),Applied Agentic AI for SWEs - 2nd Mid-May 2026,29-Apr-2026,ENROLLED_WITH_NO_DUES,has_paid_in_full,Fully Paid,CLIMBCREDIT,Onboarded,Upfront Payment,Archi
EdgeUp,300000156298,America/New_York,EdgeUp 2026 Technical Program Manager LevelUp Program (with Agentic AI Interview Prep),Applied Agentic AI - Early-May 2026,30-Apr-2026,ENROLLED_WITH_NO_DUES,has_paid_in_full,Fully Paid,ACH_TRANSFER,Onboarded,Upfront Payment,Manish
EdgeUp,97099756908,America/Chicago,EdgeUp 2026 Backend LevelUp Program (with Agentic AI Interview Prep),Applied Agentic AI for SWEs - Mid-May 2026,30-Apr-2026,FULL_PAYMENT_PAID,has_paid_in_full,Fully Paid,RAZORPAY_MANUAL_PAYMENT,VM - 4 Attempts,Upfront Payment,Arush
EdgeUp,300000156370,America/Chicago,EdgeUp Technical Program Manager LevelUp Program (with Agentic AI),Applied Agentic AI - Early-May 2026,29-Apr-2026,ENROLLED,Flexipay_has_time_to_pay,Flexipay_has_time_to_pay,0_PERCENT_APR_FLEXIPAY,Onboarded,Flexipay,Manish
Fast Track ML,300000156655,America/New_York,Fast Track Machine Learning Program,Fast Track Advanced Machine Learning,30-Apr-2026,ENROLLED_WITH_NO_DUES,has_paid_in_full,Fully Paid,ACH_TRANSFER,Onboarded,Upfront Payment,Samarth
Step Up,300000156830,America/Los_Angeles,Data Engineering Interview Prep Fast Track Program,Self-Paced Data Engineering FastTrack,29-Apr-2026,ENROLLED_WITH_NO_DUES,has_paid_in_full,Fully Paid,STRIPE_CARD,Onboarded,Upfront Payment,Kamal
Agentic SkillUp,14237856,America/Los_Angeles,Applied Agentic AI Program for SWEs,Applied Agentic AI for SWEs - Early-October 2026,30-Apr-2026,ENROLLED_WITH_NO_DUES,has_paid_in_full,Fully Paid,ACH_TRANSFER,Onboarded,Upfront Payment,Sudhanshu
Agentic SkillUp,9626518,America/Los_Angeles,Applied Agentic AI Program for SWEs,Applied Agentic AI for SWEs - 2nd Mid-May 2026,30-Apr-2026,ENROLLED_WITH_NO_DUES,has_paid_in_full,Fully Paid,ACH_TRANSFER,Onboarded,Upfront Payment,Sudhanshu
EdgeUp,14238570,America/Los_Angeles,EdgeUp Engineering Manager LevelUp Program (with Agentic AI),Engineering Management Interview Prep - Mid-May 2026,30-Apr-2026,ENROLLED_WITH_NO_DUES,has_paid_in_full,Fully Paid,PAYPAL,Onboarded,Upfront Payment,Sudhanshu
EdgeUp,9265396,America/Chicago,EdgeUp 2026 Data Analyst & Business Analyst LevelUp Program (with Agentic AI Interview Prep),Applied Agentic AI - 2nd Mid-May 2026,30-Apr-2026,FULL_PAYMENT_PAID,has_paid_in_full,Fully Paid,CLIMBCREDIT,Onboarded,Upfront Payment,Nishtha
EdgeUp Step Up,133419099154,America/New_York,EdgeUp 2026 Engineering Management StepUp Program (with Agentic AI Interview Prep),Applied Agentic AI for EM's - 2nd Mid-May 2026,30-Apr-2026,ENROLLED_WITH_NO_DUES,has_paid_in_full,Fully Paid,STRIPE_CARD,Onboarded,Upfront Payment,Arush
Step Up,141800884577,America/Chicago,Engineering Management Interview Prep Fast Track Program,Self-Paced Engineering Management FastTrack,30-Apr-2026,ENROLLED_WITH_NO_DUES,has_paid_in_full,Fully Paid,PAYPAL,Onboarded,Upfront Payment,Arshia
EdgeUp Step Up,193781472779,America/Chicago,EdgeUp 2026 Engineering Management StepUp Program (with Agentic AI Interview Prep),Applied Agentic AI for EM's - 2nd Mid-May 2026,30-Apr-2026,ENROLLED_WITH_NO_DUES,has_paid_in_full,Fully Paid,PAYPAL,Onboarded,Upfront Payment,Nishtha
EdgeUp,300000154666,America/Chicago,EdgeUp 2026 Engineering Manager LevelUp Program (with Agentic AI Interview Prep),Applied Agentic AI for EM's - 2nd Mid-May 2026,30-Apr-2026,ENROLLED_WITH_NO_DUES,has_paid_in_full,Fully Paid,CLIMBCREDIT,Onboarded,Upfront Payment,Sudhanshu
EdgeUp Step Up,300000156982,America/New_York,EdgeUp Machine Learning StepUp Program (with Agentic AI),Applied Agentic AI for SWEs - Mid-June 2026,30-Apr-2026,FULL_PAYMENT_PAID,has_paid_in_full,Fully Paid,CLIMBCREDIT,Onboarded,Upfront Payment,Archi
New ML,19343648416,America/New_York,Machine Learning Program (with Agentic AI),Machine Learning Program - 2nd Mid-April 2026,30-Apr-2026,FULL_PAYMENT_PAID,has_paid_in_full,Fully Paid,CLIMBCREDIT,Onboarded,Upfront Payment,Ajil
EdgeUp,204655714307,America/New_York,EdgeUp 2026 Technical Program Manager LevelUp Program (with Agentic AI Interview Prep),Applied Agentic AI - 2nd Mid-May 2026,30-Apr-2026,FULL_PAYMENT_PAID,has_paid_in_full,Fully Paid,CLIMBCREDIT,Onboarded,Upfront Payment,Archi
Step Up,213814257535,America/New_York,Early Engineering Fast Track Program,Self-Paced Early Engineering FastTrack,1-May-2026,ENROLLED_WITH_NO_DUES,has_paid_in_full,Fully Paid,CLIMBCREDIT,Onboarded,Upfront Payment,Disha
New ML,300000158405,America/New_York,Machine Learning Program (with Agentic AI),Machine Learning Program - 2nd End-May 2026,1-May-2026,FULL_PAYMENT_PAID,has_paid_in_full,Fully Paid,CLIMBCREDIT,Onboarded,Upfront Payment,Disha
EdgeUp,79056566898,America/New_York,EdgeUp AWS Cloud Solutions Architect LevelUp Program (with Agentic AI),EdgeUp StepUp Cohort,30-Apr-2026,NOT_OPENED,refunded,Invalid,KLARNA,Yet to Connect,,SSA-1
EdgeUp,122661810817,America/Los_Angeles,EdgeUp Engineering Manager LevelUp Program (with Agentic AI),Applied Agentic AI for EM's - 2nd Mid-May 2026,2-May-2026,ENROLLED_WITH_NO_DUES,has_paid_in_full,Fully Paid,STRIPE_CARD,Onboarded,Upfront Payment,Sudhanshu
Step Up,135139243050,America/New_York,Fullstack Interview Prep Fast Track Program,Fullstack Fast Track Masterclass,3-May-2026,ENROLLED_WITH_NO_DUES,has_paid_in_full,Fully Paid,ACH_TRANSFER,VM - 4 Attempts,Upfront Payment,Samarth
EdgeUp,14238020,America/New_York,EdgeUp 2026 Backend LevelUp Program (with Agentic AI Interview Prep),Applied Agentic AI for SWEs - Mid-May 2026,3-May-2026,ENROLLED_WITH_NO_DUES,has_paid_in_full,Fully Paid,ACH_TRANSFER,Onboarded,Upfront Payment,Safoora
Step Up,212226326188,America/New_York,Technical Program Manager Interview Prep Fast Track Program,Self-Paced TPM FastTrack,3-May-2026,ENROLLED_WITH_NO_DUES,has_paid_in_full,Fully Paid,STRIPE_CARD,Incomplete OB ,Upfront Payment,Samarth
EdgeUp,216465904477,America/New_York,EdgeUp 2026 Data Engineering LevelUp Program (with Agentic AI Interview Prep),Applied Agentic AI for SWEs - Mid-May 2026,3-May-2026,ENROLLED_WITH_NO_DUES,has_paid_in_full,Fully Paid,STRIPE_CARD,Onboarded,Upfront Payment,Zeeshan
Step Up,300000156738,America/Los_Angeles,Engineering Management Interview Prep Fast Track Program,Self-Paced Engineering Management FastTrack,3-May-2026,ENROLLED_WITH_NO_DUES,has_paid_in_full,Fully Paid,STRIPE_CARD,Onboarded,Upfront Payment,Sanjana
EdgeUp,9598616,America/Los_Angeles,EdgeUp Product Manager (Tech) LevelUp Program (with Agentic AI),Product Management Interview Prep - 2nd End-May 2026,4-May-2026,FULL_PAYMENT_PAID,has_paid_in_full,Fully Paid,CLIMBCREDIT,Onboarded,Upfront Payment,Sharon
EdgeUp,28638753,America/Los_Angeles,EdgeUp Fullstack LevelUp Program (with Agentic AI),EdgeUp LevelUp Cohort,4-May-2026,ENROLLED_WITH_NO_DUES,has_paid_in_full,Fully Paid,KLARNA,VM - 4 Attempts,Upfront Payment,SSA-1
EdgeUp,14243635,America/New_York,EdgeUp Security Engineering LevelUp Program (with Agentic AI),"Applied Agentic AI for SWEs - Mid-May 2026
",4-May-2026,ENROLLED_WITH_NO_DUES,has_paid_in_full,Fully Paid,STRIPE_MANUAL_PAYMENT,Onboarded,Upfront Payment,Safoora
EdgeUp,45273551,America/Los_Angeles,EdgeUp Engineering Manager LevelUp Program (with Agentic AI),Engineering Management Interview Prep - 2nd Mid-May 2026,4-May-2026,ENROLLED_WITH_NO_DUES,has_paid_in_full,Fully Paid,STRIPE_CARD,Onboarded,Upfront Payment,Sharon
EdgeUp,52288501,America/Los_Angeles,EdgeUp 2026 Backend LevelUp Program (with Agentic AI Interview Prep),Applied Agentic AI for SWEs - 2nd Mid-May 2026,4-May-2026,ENROLLED_WITH_NO_DUES,has_paid_in_full,Fully Paid,ACH_TRANSFER,Onboarded,Upfront Payment,Suraj
Step Up,164246701,America/Los_Angeles,Fullstack Interview Prep Fast Track Program,Self-Paced Fullstack FastTrack,4-May-2026,REFUNDED,REFUNDED,Refunded,CLIMBCREDIT,Onboarded,Upfront Payment,Pragya
Level Up,133678369102,America/Chicago,Data Analyst & Business Analyst Interview Preparation Program,Data Analyst & Business Analyst Interview Prep - Mid-May 2026,4-May-2026,ENROLLED_WITH_NO_DUES,has_paid_in_full,Fully Paid,PAYPAL,Onboarded,Upfront Payment,Pragya
Fast Track ML,203944775435,America/Chicago,Fast Track Machine Learning Program,Fast Track Machine Learning Program,4-May-2026,FULL_PAYMENT_PAID,has_paid_in_full,Fully Paid,CLIMBCREDIT,Onboarded,Upfront Payment,Pragya
New ML,300000156018,America/New_York,Machine Learning Program (with Agentic AI),Machine Learning Program - 2nd End-May 2026,4-May-2026,ENROLLED,Flexipay_has_time_to_pay,Flexipay_has_time_to_pay,0_PERCENT_APR_FLEXIPAY,Onboarded,Flexipay,Samarth
Step Up,300000157766,America/New_York,Technical Program Manager Interview Prep Fast Track Program,Self-Paced TPM FastTrack,4-May-2026,ENROLLED_WITH_NO_DUES,has_paid_in_full,Fully Paid,PAYPAL,Onboarded,Upfront Payment,Samarth
EdgeUp Step Up,300000160279,America/Los_Angeles,EdgeUp 2026 Technical Program Manager StepUp Program (with Agentic AI Interview Prep),Applied Agentic AI - 2nd Mid-May 2026,4-May-2026,ENROLLED_WITH_NO_DUES,has_paid_in_full,Fully Paid,ACH_TRANSFER,Onboarded,Upfront Payment,Sharon
Level Up,103377802,America/Los_Angeles,Frontend Engineering Interview Prep Program,Frontend Interview Prep - 2nd Mid-May 2026,5-May-2026,FULL_PAYMENT_PAID,has_paid_in_full,Fully Paid,CLIMBCREDIT,Onboarded,Upfront Payment,Arshia
EdgeUp Step Up,151190702,America/New_York,EdgeUp 2026 Product Manager (Tech) StepUp Program (with Agentic AI Interview Prep),Applied Agentic AI - 2nd Mid-May 2026,5-May-2026,FULL_PAYMENT_PAID,has_paid_in_full,Fully Paid,CLIMBCREDIT,Onboarded Via Calendly,Upfront Payment,Safoora
EdgeUp,464651101,America/Chicago,EdgeUp 2026 Technical Program Manager LevelUp Program (with Agentic AI Interview Prep),Applied Agentic AI - 2nd Mid-May 2026,5-May-2026,ENROLLED_WITH_NO_DUES,has_paid_in_full,Fully Paid,STRIPE_CARD,Onboarded,Upfront Payment,Arush
Level Up,135045592896,America/New_York,Fullstack Engineering Interview Prep Program,Fullstack Interview Prep - 2nd Mid-May 2026,5-May-2026,FULL_PAYMENT_PAID,has_paid_in_full,Fully Paid,CLIMBCREDIT,Onboarded,Upfront Payment,Samarth
Step Up,181540525589,America/New_York,Fullstack Interview Prep Fast Track Program,Self-Paced Fullstack FastTrack,5-May-2026,ENROLLED_WITH_NO_DUES,has_paid_in_full,Fully Paid,0_PERCENT_APR_FLEXIPAY,VM - 4 Attempts,Flexipay,Ajil
EdgeUp Step Up,213252289899,America/Los_Angeles,EdgeUp 2026 Technical Program Manager StepUp Program (with Agentic AI Interview Prep),Applied Agentic AI - 2nd Mid-May 2026,5-May-2026,ENROLLED_WITH_NO_DUES,has_paid_in_full,Fully Paid,PAYPAL,Onboarded,Upfront Payment,Sharon
Step Up,216472055333,America/Los_Angeles,Engineering Management Interview Prep Fast Track Program,"Self-Paced Engineering Management FastTrack",5-May-2026,FULL_PAYMENT_PAID,has_paid_in_full,Fully Paid,RAZORPAY_MANUAL_PAYMENT,Onboarded,Upfront Payment,Pragya
Advanced ML,300000156002,America/Chicago,Advanced Machine Learning Program (with Agentic AI),Advanced Machine Learning Program - End-May 2026,5-May-2026,ENROLLED,has_time_to_pay,Fully Paid,CLIMBCREDIT,Onboarded,Upfront Payment,Samarth
EdgeUp Step Up,300000158475,America/Chicago,EdgeUp 2026 AWS Cloud Solutions Architect StepUp Program (with Agentic AI Interview Prep),"Applied Agentic AI for SWEs - Mid-July 2026	
",5-May-2026,ENROLLED_WITH_NO_DUES,has_paid_in_full,Fully Paid,ACH_TRANSFER,Onboarded,Upfront Payment,Safoora
Advanced ML,300000159846,America/Chicago,Advanced Machine Learning Program (with Agentic AI),Advanced Machine Learning Program - End-May 2026,5-May-2026,ENROLLED_WITH_NO_DUES,refunded,Refunded,CLIMBCREDIT,Onboarded,Upfront Payment,Ajil
EdgeUp Step Up,300000160365,America/Los_Angeles,EdgeUp 2026 Data Engineering StepUp Program (with Agentic AI Interview Prep),Applied Agentic AI for SWEs - Mid-May 2026,5-May-2026,FULL_PAYMENT_PAID,has_paid_in_full,Fully Paid,RAZORPAY_MANUAL_PAYMENT,Onboarded,Upfront Payment,Suraj
EdgeUp Step Up,35186442900,America/Los_Angeles,EdgeUp 2026 Data Analyst & Business Analyst StepUp Program (with Agentic AI Interview Prep),Applied Agentic AI - 2nd Mid-May 2026,6-May-2026,ENROLLED_WITH_NO_DUES,has_paid_in_full,Fully Paid,CLIMBCREDIT,Onboarded,Upfront Payment,Nishtha
